"part_A","num_A","fam_A","name_A","part_B","num_B","fam_B","name_B","criterion"
"4212a#1","4212a","other","Vehicle Base 4 x 10 x 2/3 with 2 x 2 Recessed Center with Center Hole, 1 x 2 Cutouts (Early Version)","3024#1","3024","plate","Plate 1 x 1","touch"
"4212a#1","4212a","other","Vehicle Base 4 x 10 x 2/3 with 2 x 2 Recessed Center with Center Hole, 1 x 2 Cutouts (Early Version)","3024#2","3024","plate","Plate 1 x 1","touch"
"4212a#1","4212a","other","Vehicle Base 4 x 10 x 2/3 with 2 x 2 Recessed Center with Center Hole, 1 x 2 Cutouts (Early Version)","3829c01#1","3829c01","wheel","Steering Stand 1 x 2 with Black Steering Wheel","touch"
"4212a#1","4212a","other","Vehicle Base 4 x 10 x 2/3 with 2 x 2 Recessed Center with Center Hole, 1 x 2 Cutouts (Early Version)","3024#3","3024","plate","Plate 1 x 1","touch"
"4212a#1","4212a","other","Vehicle Base 4 x 10 x 2/3 with 2 x 2 Recessed Center with Center Hole, 1 x 2 Cutouts (Early Version)","3024#4","3024","plate","Plate 1 x 1","touch"
"4212a#1","4212a","other","Vehicle Base 4 x 10 x 2/3 with 2 x 2 Recessed Center with Center Hole, 1 x 2 Cutouts (Early Version)","3821#1","3821","panel","Door 1 x 3 x 1 Right","stack"
"4212a#1","4212a","other","Vehicle Base 4 x 10 x 2/3 with 2 x 2 Recessed Center with Center Hole, 1 x 2 Cutouts (Early Version)","3822#1","3822","panel","Door 1 x 3 x 1 Left","stack"
"4212a#1","4212a","other","Vehicle Base 4 x 10 x 2/3 with 2 x 2 Recessed Center with Center Hole, 1 x 2 Cutouts (Early Version)","3031#1","3031","plate","Plate 4 x 4","stack"
"4212a#1","4212a","other","Vehicle Base 4 x 10 x 2/3 with 2 x 2 Recessed Center with Center Hole, 1 x 2 Cutouts (Early Version)","3815#1","3815","other","3815","touch"
"4212a#1","4212a","other","Vehicle Base 4 x 10 x 2/3 with 2 x 2 Recessed Center with Center Hole, 1 x 2 Cutouts (Early Version)","3816#1","3816","minifig","Leg, Right","touch"
"4212a#1","4212a","other","Vehicle Base 4 x 10 x 2/3 with 2 x 2 Recessed Center with Center Hole, 1 x 2 Cutouts (Early Version)","3817#1","3817","minifig","Leg, Left","touch"
"3788#1","3788","wheel","Wheel Arch, Mudguard 2 x 4 Studded","3829c01#1","3829c01","wheel","Steering Stand 1 x 2 with Black Steering Wheel","touch"
"3788#1","3788","wheel","Wheel Arch, Mudguard 2 x 4 Studded","122c01#1","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","tyre-hub"
"3788#1","3788","wheel","Wheel Arch, Mudguard 2 x 4 Studded","3641#1","3641","tyre","Tyre 15 x 6 Offset Tread Small","tyre-hub"
"3788#1","3788","wheel","Wheel Arch, Mudguard 2 x 4 Studded","3641#3","3641","tyre","Tyre 15 x 6 Offset Tread Small","tyre-hub"
"3788#2","3788","wheel","Wheel Arch, Mudguard 2 x 4 Studded","122c01#2","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","tyre-hub"
"3788#2","3788","wheel","Wheel Arch, Mudguard 2 x 4 Studded","3641#2","3641","tyre","Tyre 15 x 6 Offset Tread Small","tyre-hub"
"3788#2","3788","wheel","Wheel Arch, Mudguard 2 x 4 Studded","3641#4","3641","tyre","Tyre 15 x 6 Offset Tread Small","tyre-hub"
"3710#1","3710","plate","Plate 1 x 4","3710#3","3710","plate","Plate 1 x 4","touch"
"3710#1","3710","plate","Plate 1 x 4","3821#1","3821","panel","Door 1 x 3 x 1 Right","touch"
"3710#1","3710","plate","Plate 1 x 4","3822#1","3822","panel","Door 1 x 3 x 1 Left","touch"
"3710#1","3710","plate","Plate 1 x 4","3021#1","3021","plate","Plate 2 x 3","touch"
"3710#1","3710","plate","Plate 1 x 4","3021#2","3021","plate","Plate 2 x 3","touch"
"3710#1","3710","plate","Plate 1 x 4","122c01#1","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","touch"
"3710#2","3710","plate","Plate 1 x 4","3024#1","3024","plate","Plate 1 x 1","touch"
"3710#2","3710","plate","Plate 1 x 4","3024#2","3024","plate","Plate 1 x 1","touch"
"3710#2","3710","plate","Plate 1 x 4","3024#3","3024","plate","Plate 1 x 1","touch"
"3710#2","3710","plate","Plate 1 x 4","3024#4","3024","plate","Plate 1 x 1","touch"
"3710#2","3710","plate","Plate 1 x 4","3710#4","3710","plate","Plate 1 x 4","touch"
"3710#2","3710","plate","Plate 1 x 4","3031#1","3031","plate","Plate 4 x 4","touch"
"3710#2","3710","plate","Plate 1 x 4","122c01#2","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","touch"
"3024#1","3024","plate","Plate 1 x 1","3024#3","3024","plate","Plate 1 x 1","touch"
"3024#1","3024","plate","Plate 1 x 1","3710#4","3710","plate","Plate 1 x 4","touch"
"3024#1","3024","plate","Plate 1 x 1","3031#1","3031","plate","Plate 4 x 4","touch"
"3024#1","3024","plate","Plate 1 x 1","122c01#2","122c01","wheel_holder","Plate Special 2 x 2 with Wheels Red","touch"
